propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,newDevelopmentHighlight,topPlus,floor,exterior,neighborhood,hasLift,newDevelopmentFinished,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.parkingSpacePrice
111083467,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/58/9b/1425231633.webp,3431-18033,69,374995,chalet,sale,382,3,4,"calle Nicolás de las Peñas, 5",Murcia,San Pedro del Pinatar,Lo Pagán,es,37.8171,-0.789,TRUE,https://www.idealista.com/inmueble/111083467/,"Casa unifamiliar estilo vanguardista. Esta es una casa para alguien que aprecia el diseño de autor. Te presentamos este exclusivo chalet con una pisicna de contrucción perimetral en L, creando un efecto de ""casa flotante"". La vivienda se distribuye en un total de 4 plantas, la última con terraza transitable (Chill-out) en la azotea. 4 plantas claramente diferenciadas y muy bien aprovechadas. Planta -1 sótano, de concepto abierto:158,90 m2 construidos / 117,30 m2 útiles. Es un espacio de paisajismo invertido situado bajo el nivel del suelo con ventanas y techo donde entra luz directa. Esta planta está orientada principalmente a celebraciones, cuenta con grandes ventanales que conectan directamente con el interior de la piscina, creando un efecto acuario fascinante que baña la estancia con una luz azulada y relajante. ¡El escenario perfecto que te deja sin palabras!.  La planta calle o principal: 61,30m2 construidos / 53m2 útiles. Al cruzar el umbral, la vivienda sorprende con un salón inmersivo, de gran altura y diseño tipo loft. Zona de día que conecta de forma radical con el exterior gracias a su sofisticado acristalamiento con ventanales bajos. El salón parece fundirse con la piscina creando una atmósfera de serenidad y frescura constante. La escalera abierta y su diseño de escalera flotante, así como el tramo de suelo de cristal reforzado, conecta visualmente todos los niveles y permite el paso de la luz natural a todas las profundidades de la vivienda dando un resultado de conectividad y amplitud visual. La cocina independiente totalmente equipada, y un práctico aseo de cortesía, dan paso directo a una agradable terraza, un espacio privado para ser vivido, que a su vez, por sus dimensiones cumple las funciones de aparcamiento. La transición a la planta de descanso se realiza a través de la escalera volada realizada con materiales nobles, barandilla de acero inoxidable y peldaños de madera maciza. Esta planta cuenta con 57,30m2 construidos /42,65m2 útiles, distribuidos en 3 amplios dormitorios, destacando el principal con baño privado para tu total comodidad. Los otros 2 amplios dormitorios comparten otro baño completo. El Broche de Oro lo aporta la azotea, 57, 30m2 construidos / 45,10m2 útiles. Donde disfrutar de las mejores vistas bajo el sol, el solárium ideal para relajarte bajo el cielo. Para una correcta VISUALIZACION recomendamos realizar la VISITA VIRTUAL 3D insertada en este anuncio, donde se da la opción de visitar la casa en su estado actual o vacia y tambien los planos de distribución por plantas. Algunas de la imagenes son Home-Staging virtual. Finalizamos con la fachada. Una fachada de diseño cúbico y líneas limpias, revestida con una combinación de piedra caliza en tonos crema y pizarra natural, que garantizan un excelente aislamiento térmico y una gran durabilidad. Cerramiento perimetral seguro con valla metálica y muros de obra. Calidad en todos los materiales, no se ha escatimado en la construcción: Carpinteria metalica y vidrios de seguridad, barandillas esteriores de acero, una elección perfecta para zonas exteriores cerca de la costa ya que aguanta muy bien la humedad y el salitre. Coronación en madera tecnologica en el borde de la piscina, etc.  Además de la vivienda, destacar su ubicación- Lo Pagán, es el balneario a cielo abierto más grande Europa. En la zona de Las Charcas de las Salinas, la gente se aplica los lodos que tienen un alto contenido en calcio, magnesio y potasio, famosos para aliviar problemas de piel, reumatismo, artritis. El Parque Regional de la Salinas y Arenales, son el pulmón verde y rosa de la zona. Es un humedal protegido donde conviven dunas, playas vírgenes y salinas. Los Flamencos tiñen el paisaje rosa. Playas y paseos en el Mar Menor, famosas por su poca profundidad, Una zona que cuenta con todo tipo de servicios, centros comerciales, comercio local, ocio, restauración, y excelentes comunicaciones.",TRUE,good,FALSE,982,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,374995,€,NA,NA,NA,TRUE,TRUE,chalet,independantHouse,"Lo Pagán, San Pedro del Pinatar","Casa independiente en calle Nicolás de las Peñas, 5",Top+,NA
102047543,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/46/d5/cd/1142448617.webp,PASEO313,24,135900,flat,sale,84,3,2,calle Macetas s/n,Murcia,Mazarrón,Puerto de Mazarrón,es,37.5671,-1.2586,TRUE,https://www.idealista.com/inmueble/102047543/,"BLUE MED INVEST pone a la venta este piso de 3 dormitorios ubicado en SEGUNDA LÍNEA DE PLAYA a tan sólo 1 calle del PASEO MARÍTIMO y a pocos pasos de todos los servicios.  La vivienda cuenta con 84.00 m. de superficie construida distribuidos en salón, cocina independiente, 3 habitaciones dobles (1 de ellas con balcón propio) y 2 baños completos, más una TERRAZA DE 40.00 METROS, en la que tenemos 1 trastero y 1 ducha exterior.  Se entrega totalmente amueblada, las ventanas de aluminio han sido recientemente cambiadas y además está equipada con aire acondicionado por split. Con vistas totalmente despejadas desde la terraza, la vivienda da a dos calles, con lo cual tiene una gran luz natural durante todo el día.  Llámanos y concertamos una visita: BLUE MED INVEST   REF: PASEO313.",FALSE,good,FALSE,1618,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,3,TRUE,Puerto,FALSE,NA,135900,€,NA,NA,NA,NA,NA,flat,NA,"Puerto, Mazarrón",Piso en calle Macetas s/n,Top,NA
109587345,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/91/78/1379304783.webp,PASEO835,20,94900,flat,sale,40,2,1,calle Macetas,Murcia,Mazarrón,Puerto de Mazarrón,es,37.5665,-1.2566,FALSE,https://www.idealista.com/inmueble/109587345/,"Se vende encantador apartamento en Puerto de Mazarrón, ubicado en segunda línea de playa, a tan solo un minuto del Paseo Marítimo y de la playa. La vivienda está totalmente reformada y amueblada, lista para entrar a vivir, con acabados modernos y un estilo acogedor. Dispone de 2 habitaciones dobles, un luminoso salón con cocina americana, 1 baño completo y lavadero independiente. Desde el dormitorio principal se disfrutan bonitas vistas al mar, y su orientación norte-sur garantiza una excelente iluminación y ventilación durante todo el día. Con sus 40 m2 construidos, el apartamento se encuentra en una zona céntrica y muy demandada, rodeada de supermercados, tiendas, farmacias, cafeterías y restaurantes, lo que lo convierte en una opción ideal para vivir o pasar las vacaciones sin necesidad de usar el coche. Perfecto como vivienda de verano o inversión para alquiler turístico, por su excelente ubicación, su luminosidad y su estado prácticamente a estrenar. Llámanos y concertamos una visita: BLUE MED INVEST   REF: PASEO835.",TRUE,good,FALSE,2373,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,4,TRUE,Puerto,FALSE,NA,94900,€,NA,NA,NA,NA,NA,flat,NA,"Puerto, Mazarrón",Piso en calle Macetas,Top,NA
109225315,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/ed/b9/1367997799.webp,ISLA808,32,220000,flat,sale,156,5,3,calle Río Taibilla,Murcia,Mazarrón,Puerto de Mazarrón,es,37.5643,-1.2642,FALSE,https://www.idealista.com/inmueble/109225315/,"BLUE MED INVEST vende amplio y estupendo triplex con orientación este/oeste en La Isla, una de las zonas más demandadas de Puerto de Mazarrón.  La vivienda se encuentra en perfecto estado, se distribuye en planta baja con porche delantero, salón, cocina independiente, una habitación doble y patio trasero con baño, trastero, lavadero y barbacoa. En la primera planta encontramos dos habitaciones dobles, cada una con su terraza, y un baño completo; la tercera planta cuenta con la misma distribución, sumando en total 5 dormitorios y 3 baños. Con 156 m2 construidos y 114 m2 de parcela, se entrega totalmente amueblada, con armarios empotrados, ventiladores de techo y mosquiteras. Su excelente ubicación, a tan solo 150 metros de la playa de La Isla y cerca del centro, la convierte en una opción ideal tanto para residencia habitual como para disfrutar de las vacaciones en la costa. Llámanos y concertamos una visita: BLUE MED INVEST   REF: ISLA808.",TRUE,good,FALSE,1410,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,bj,TRUE,Bahía,FALSE,NA,220000,€,NA,NA,NA,NA,NA,flat,NA,"Bahía, Mazarrón",Piso en calle Río Taibilla,Top,NA
110458210,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/cc/d6/1405575179.webp,FARO885,21,144990,flat,sale,54,2,1,calle Carrascos,Murcia,Mazarrón,Puerto de Mazarrón,es,37.5601,-1.2569,FALSE,https://www.idealista.com/inmueble/110458210/,"Se vende precioso apartamento en Puerto de Mazarrón, ubicado en la demandada zona de El Faro, con orientación norte, ideal para disfrutar de un ambiente fresco y agradable durante todo el año. La vivienda cuenta con 2 habitaciones dobles, un baño completo, un amplio y luminoso salón con cocina americana, perfectamente integrado para crear un espacio cómodo y funcional, y una agradable terraza ideal para relajarse. Incluye plaza de garaje y trastero, lo que aporta un extra de comodidad y almacenamiento. Se entrega totalmente amueblado y equipado, listo para entrar a vivir. Dispone de armarios empotrados, aire acondicionado y calefacción por split, mosquiteras, rejas de seguridad, y se encuentra en muy buen estado de conservación. Edificio con ascensor, vivienda luminosa, con una superficie construida de 54,77 m2. Ubicada a tan solo 600 metros de las playas de La Isla y del Paseo Marítimo, lo que la convierte en una opción ideal tanto como residencia habitual, segunda vivienda o inversión para alquiler vacacional. Una oportunidad perfecta para disfrutar del mar, la tranquilidad y todos los servicios a un paso. Llámanos y concertamos una visita: BLUE MED INVEST   REF: FARO885.",TRUE,good,FALSE,2685,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,bj,TRUE,Puerto,TRUE,NA,144990,€,NA,NA,NA,TRUE,TRUE,flat,NA,"Puerto, Mazarrón",Piso en calle Carrascos,Top,NA
110015558,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/fc/a3/1393129010.webp,CENTRO864,21,165000,flat,sale,58,2,1,"plaza Comunidades Autonomas, 24",Murcia,Mazarrón,Puerto de Mazarrón,es,37.5639,-1.2584,TRUE,https://www.idealista.com/inmueble/110015558/,"Descubre este acogedor apartamento en planta baja ubicado en pleno centro de Puerto de Mazarrón, a tan solo 200 metros de la playa y en primera línea del puerto deportivo. Con orientación este, disfruta de una excelente luminosidad durante todo el día y de agradables vistas al mar. La vivienda cuenta con 58 m2 construidos y se distribuye en 2 habitaciones, 1 baño, salón, terraza, así como una cocina independiente equipada con despensa/trastero. Se vende totalmente amueblado, e incluye armario empotrado, mosquiteras y rejas de seguridad. El edificio dispone de ascensor y acceso adaptado para personas con movilidad reducida. La ubicación es inmejorable: muy céntrico y cercano a supermercados, tiendas, cafeterías y todos los servicios esenciales. El inmueble se encuentra en buen estado y listo para entrar a vivir. OPCIONAL. Con el coste de 27€/mes posibilidad que transferir concesión de plaza de garaje en el parking del Puerto deportivo hasta fin de 2028. Una oportunidad ideal para disfrutar del estilo de vida costero o como inversión en una zona privilegiada. Llámanos y concertamos una visita: BLUE MED INVEST   REF: CENTRO864.",FALSE,good,FALSE,2845,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,Puerto,TRUE,NA,165000,€,NA,NA,NA,NA,NA,flat,NA,"Puerto, Mazarrón","Piso en plaza Comunidades Autonomas, 24",Top,NA
110465788,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/bd/cf/1405791054.webp,MDP886,32,305000,chalet,sale,101,3,2,calle Embarcación Antina II,Murcia,Mazarrón,Puerto de Mazarrón,es,37.5793,-1.2405,FALSE,https://www.idealista.com/inmueble/110465788/,"¡BLUE MED INVEST VENDE EN EXCLUSIVA! Magnífico chalet en la demandada zona Mar de Plata, en Puerto de Mazarrón, con orientación suroeste y espectaculares vistas al mar. La vivienda se encuentra en una tranquila zona de costa, a tan solo 300 metros de la playa y del nuevo paseo marítimo de El Alamillo (5 minutos caminando). El chalet está distribuido en dos plantas más solárium, sobre una parcela de 157,30 m2, con una superficie construida de 101,45 m2 y amplias zonas exteriores que suman 108,06 m2 de terrazas. En la planta baja encontramos un luminoso salón, cocina independiente con despensa y salida directa a la zona de lavadero exterior, además de un baño completo. La primera planta dispone de tres habitaciones dobles y otro baño completo. La habitación principal destaca por contar con dos balcones privados con vistas al mar. En la última planta, un fantástico solárium de 27,30 m2 ofrece preciosas vistas panorámicas al mar, ideal para disfrutar del clima mediterráneo. La vivienda cuenta con piscina privada, aparcamiento en parcela para un vehículo, se vende parcialmente amueblada y dispone de armarios empotrados, aire acondicionado frío/calor por split y rejas de seguridad. Construido del año 2016, se encuentra en perfecto estado. Una oportunidad única para vivir o invertir en una de las zonas más demandadas de Puerto de Mazarrón, combinando tranquilidad, vistas al mar y cercanía a la playa. Llámanos y concertamos una visita: BLUE MED INVEST   REF: MDP886.",TRUE,good,FALSE,3020,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,El Alamillo,NA,NA,305000,€,NA,NA,NA,TRUE,TRUE,chalet,independantHouse,"El Alamillo, Mazarrón",Casa independiente en calle Embarcación Antina II,Top,NA
108078739,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/ae/74/1333166944.webp,ISLA741,22,122900,flat,sale,73,2,1,avenida Mar de Cristal,Murcia,Mazarrón,Puerto de Mazarrón,es,37.5653,-1.2698,FALSE,https://www.idealista.com/inmueble/108078739/,"BLUE MED INVEST pone en venta este acogedor apartamento de 66.00 m2 que se encuentra en la zona de La Isla, en Puerto de Mazarrón, a tan solo 400 metros de la playa. Es una vivienda reformada, en buen estado y perfecta para vacaciones.  Dispone de dos habitaciones dobles, un baño completo y salón con cocina americana. Tanto la carpintería interior como la exterior son de madera, y el suelo es de tarima. Además, su orientación suroeste garantiza una excelente entrada de luz natural.  Entre sus comodidades, cuenta con aire acondicionado, calefacción, lavadero, terraza con vistas despejadas y se vende amueblado. La vivienda está ubicada en una zona tranquila, cercana a parques, zonas infantiles y todos los servicios necesarios, en un entorno costero ideal para disfrutar del clima y el mar. Llámanos y concertamos una visita: BLUE MED INVEST   REF: ISLA741.",TRUE,good,FALSE,1684,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,2,TRUE,Bahía,FALSE,NA,122900,€,NA,NA,NA,NA,NA,flat,NA,"Bahía, Mazarrón",Piso en avenida Mar de Cristal,Top,NA
109016617,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/22/bb/8d/1361786813.webp,BOLNUEVO801,24,269900,chalet,sale,74,2,2,calle Galera,Murcia,Mazarrón,Bolnuevo,es,37.5668,-1.3019,FALSE,https://www.idealista.com/inmueble/109016617/,"BLUE MED INVEST pone en venta esta luminosa casa semiadosada en planta baja, situada en la exclusiva zona de Bolnuevo, en Puerto de Mazarrón, a tan solo 700 metros de la playa. Con orientación este/oeste que garantiza luz natural durante todo el día, la vivienda cuenta con 74,40 m2 construidos (58,47 m2 útiles) y una parcela de 205,36 m2. Dispone de 2 dormitorios con armarios empotrados, salón, cocina independiente completamente equipada y 2 baños (uno de ellos en el exterior). Equipada con aire acondicionado frío/calor por split, esta propiedad se entrega parcialmente amueblada y ofrece además un amplio espacio exterior con jardín, zona de barbacoa, piscina privada, espacio de terraza, porche cerrado, trastero y espacio de aparcamiento para un vehículo. Una oportunidad ideal para disfrutar del mar y la tranquilidad de una de las zonas más codiciadas de Mazarrón. Llámanos y concertamos una visita: BLUE MED INVEST   REF: BOLNUEVO801.",TRUE,good,FALSE,3647,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,269900,€,NA,NA,NA,TRUE,TRUE,chalet,independantHouse,"Bolnuevo, Mazarrón",Casa independiente en calle Galera,Top,NA
110130262,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/04/6b/1396156525.webp,ISLA871,22,185000,flat,sale,64,2,1,travesía Bolnuevo,Murcia,Mazarrón,Puerto de Mazarrón,es,37.5596,-1.2697,FALSE,https://www.idealista.com/inmueble/110130262/,"Se vende magnífico apartamento en el Puerto de Mazarrón, situado en la prestigiosa y exclusiva urbanización Pueblo Salado, en la zona de La Isla, en primera línea de playa. Urbanización cerrada con vigilancia, que ofrece un entorno seguro y privilegiado, ideal tanto para residencia habitual como para vacaciones. El complejo cuenta con excelentes zonas comunes: tres piscinas, una de ellas climatizada, chiringuito-restaurante, zonas infantiles, amplios parques y cuidados jardines. La vivienda, con una superficie construida de 64 m2, se encuentra totalmente reformada y amueblada, en muy buen estado de conservación. Dispone de dos habitaciones con armarios empotrados, un baño completo, salón luminoso con cocina americana y dos terrazas con vistas despejadas a la piscina. Orientación este, lo que garantiza luz natural durante gran parte del día. Equipada con aire acondicionado y calefacción por split, es una vivienda cómoda y funcional. Destaca su excelente ubicación, a tan solo 220 metros de las playas de La Ermita y La Isla. Una oportunidad única para disfrutar del mar, el sol y la tranquilidad en una de las mejores zonas del Puerto de Mazarrón. Llámanos y concertamos una visita: BLUE MED INVEST   REF: ISLA871.",TRUE,good,FALSE,2891,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,2,TRUE,Bahía,FALSE,NA,185000,€,NA,NA,NA,NA,NA,flat,NA,"Bahía, Mazarrón",Piso en travesía Bolnuevo,Top,NA
