propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,newDevelopmentHighlight,topNewDevelopment,topPlus,neighborhood,newDevelopmentFinished,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice
110085089,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b6/f5/13/1394734098.webp,5910,52,1,280000,flat,sale,71,TRUE,2,1,Golf del Sur-Amarilla Golf,Santa Cruz de Tenerife,San Miguel de Abona,Golf del Sur-Amarilla Golf,es,28.0322,-16.613,FALSE,https://www.idealista.com/inmueble/110085089/,"VISITA AHORA MISMO LA PROPIEDAD - TOUR VIRTUAL DISPONIBLE ¡Oportunidad en Golf del Sur! Piso en venta en excelente estado. Se ofrece a la venta este encantador piso de 2 dormitorios y 1 baño, con un luminoso salón-comedor, cocina equipada y una acogedora terraza ideal para disfrutar del clima privilegiado y la tranquilidad de Golf del Sur. La vivienda se encuentra en muy buen estado y está lista para entrar a vivir. Ubicado a tan solo 100 metros del mar, el inmueble forma parte de un complejo exclusivo que destaca por sus impresionantes zonas exteriores: jardines meticulosamente cuidados, lagos artificiales y espectaculares cascadas que crean un entorno único y relajante.  El complejo dispone además de una amplia piscina con solárium y zona de hidromasaje, perfecta para desconectar y aprovechar el sol durante todo el año. Pensado para el disfrute de toda la familia, el residencial cuenta con club infantil, sala de juegos y biblioteca para adultos, así como snack bar, restaurante y conexión wifi en las áreas comunes. Una oportunidad excepcional para vivir cerca del mar, en un entorno privilegiado y con todas las comodidades al alcance de la mano.  Los metros indicados incluyen todos los elementos de la vivienda. Información adicional: gastos de comunidad: 189 € (mensual), coste de IBI: 338,82 € (anual). Año de construcción: 1989. Contacte con nosotros para concertar una visita y le asesoraremos lo mejor posible.",FALSE,good,FALSE,TRUE,3944,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,280000,€,285000,5000,2,flat,NA,"Golf del Sur-Amarilla Golf, San Miguel de Abona",Piso,Top,NA,NA,NA
109462335,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/7b/b8/1375366627.webp,PD-230727,23,2,840000,flat,sale,105,FALSE,2,2,calle Beirut,Santa Cruz de Tenerife,Adeje,Costa Adeje,es,28.0944,-16.7277,FALSE,https://www.idealista.com/inmueble/109462335/,"Apartamento de 2 Dormitorios - El Madroñal, Costa Adeje 4Life Properties presenta con orgullo este elegante y lujoso apartamento de 2 dormitorios, ubicado en el prestigioso complejo residencial Atlantic Homes en Costa Adeje, Tenerife. Rodeada de belleza natural y arquitectura moderna, esta propiedad excepcional ofrece un estilo de vida sereno a pocos minutos de algunas de las playas más exclusivas de la isla. Diseñado para el máximo confort y estilo, este apartamento ofrece la combinación perfecta de diseño contemporáneo, acabados de alta gama y comodidades premium, ideal para aquellos que valoran una vida refinada en un entorno tranquilo pero vibrante. Características y Beneficios Clave: - 2 dormitorios amplios y elegantes, diseñados para el confort y la relajación - 2 baños modernos con materiales y acabados de alta calidad - 90,8 m² de espacio habitable bellamente distribuido, ideal para la comodidad diaria y el entretenimiento - Amplia terraza privada de 28 m², perfecta para comer al aire libre o relajarse al sol - Completamente equipado con aire acondicionado para garantizar un confort óptimo durante todo el año - Amueblado con muebles de diseño de alta calidad que elevan el espacio con elegancia - Garaje privado y trastero dedicado para mayor comodidad y seguridad - Piscina comunitaria climatizada, disponible todo el año para los residentes - Exuberantes jardines comunitarios ajardinados que promueven la privacidad, la paz y un ambiente de lujo - Ubicado en una urbanización segura y cerrada que ofrece exclusividad y tranquilidad - Cerca de restaurantes de alta cocina, tiendas de lujo, campos de golf y hermosas playas - Situado en una de las zonas costeras más deseables de Tenerife, con más de 26 km de costa y 4 km de playas aptas para el baño cercanas - A solo 7 km del pueblo de Adeje, que ofrece acceso a servicios esenciales y una vibrante vida local Disfruta de uno de los mejores climas de Europa, con sol y temperaturas suaves durante todo el año. Una oportunidad excepcional para aquellos que buscan una lujosa residencia vacacional, un hogar permanente sofisticado o una inversión de alto valor en Costa Adeje. Precio: 840.000 € Fotos y especificaciones adicionales disponibles bajo petición. Contacto: Pavel Dubravskij.",FALSE,good,FALSE,TRUE,8000,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,Playa de Fañabé Alto,NA,840000,€,850000,10000,1,flat,NA,"Playa de Fañabé Alto, Adeje",Piso en calle Beirut,Top,TRUE,TRUE,NA
105434240,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/dc/b6/1352004132.webp,ES 22 318 4024,62,NA,5000000,chalet,sale,660,NA,4,5,"calle Josefina de la Torre, 4",Santa Cruz de Tenerife,Guia de Isora,Abama,es,28.1742,-16.7796,TRUE,https://www.idealista.com/inmueble/105434240/,"Vive una vida lujosa y moderna con esta impresionante villa, cuya finalización está prevista para finales de 2024, ofreciendo un confort excepcional y una elegancia estilizada en dos plantas. El sótano ofrece espacio para varios coches, ideal para los amantes de los automóviles. Cuenta con una zona de fitness con su propio baño, perfecta para el entrenamiento diario. También hay un amplio dormitorio con su propio baño y un acogedor salón para máxima privacidad y confort. El piso superior continúa con el estilo de vida lujoso y ofrece tres generosos dormitorios, cada uno con un baño en suite y acceso directo a la hermosa zona exterior. Un gran salón moderno está diseñado para disfrutar de la compañía de familiares y amigos. Una amplia cocina de alta calidad, equipada con los últimos electrodomésticos está contigua al salón. Las ventanas de suelo a techo en casi todas las habitaciones no solo permiten que entre mucha luz natural, sino que también proporcionan un acceso fluido a la terraza. Disfrute de la tranquilidad y privacidad desde la amplia terraza con la lujosa piscina, el punto culminante perfecto para los días calurosos de verano. Un impresionante nuevo proyecto de construcción en el corazón de un resort de lujo.",FALSE,good,FALSE,NA,7576,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,5000000,€,NA,NA,NA,chalet,independantHouse,"Abama, Guia de Isora","Casa independiente en calle Josefina de la Torre, 4",Top,NA,NA,NA
106396620,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/32/8a/6f/1306116577.webp,0079-MF0042,50,1,498000,flat,sale,239,TRUE,5,2,"rambla de Santa Cruz, 138",Santa Cruz de Tenerife,Santa Cruz de Tenerife,Centro-Ifara,es,28.4747,-16.251,TRUE,https://www.idealista.com/inmueble/106396620/,"Presentamos este maravilloso y emblemático piso, ubicado en la primera planta de un edificio de solo 3 alturas, con tan sólo cuatro vecinos, construido en 1930, en el número 138 de la Rambla de Santa Cruz, a la altura del colegio oficial de arquitectos. Este amplio y luminoso piso, transmite una sensación de amplitud y confort, al alcance de pocas viviendas en la capital, gracias a sus techos altos, su distribución, y el gran tamaño de sus estancias, propias de la construcción de la época. Es un edificio que hace esquina. En la primera ala de la vivienda, podemos encontrar una zona de lavado y despensa, que conectan con una amplia cocina independiente equipada y con gran capacidad de almacenamiento. Anexo a la cocina encontramos un pequeño aseo, toda este ala de la vivienda recibe su luminosidad y ventilación desde el patio interior del edificio.  La entrada principal, que inicia por un amplio pasillo, nos conduce a una habitación doble, exterior, a un magnífico comedor, una estancia amplia y luminosa, gracias a su balcón orientado a la rambla, que a su vez conecta con un salón con amplias ventanas y vistas panorámicas, ya que se encuentra en la esquina del edificio. Al continuar por la vivienda, podemos acceder a las habitaciones, 4 de ellas en total en este ala de la vivienda, dos de ellas con acceso a balcón, con grandes armarios en cada una, y un gran baño principal, equipado con plato de ducha. Además, cuenta con una plaza de garaje con puerta manual, con una buena profundidad, también encontramos un cuarto de lavado y trastero en la azotea, además de una zona transitable privativa, con unas maravillosas vistas tanto al mar como a las montañas de Anaga. Que podrás personalizar a tu gusto.  No dudes en contactar con nosotros para solicitar información, estaremos encantados de poder ayudarle. Datos meramente informativos. Impuestos y gastos de transmisión no incluidos en el precio de venta.",TRUE,good,FALSE,FALSE,2084,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,Toscal,NA,498000,€,NA,NA,NA,flat,NA,"Toscal, Santa Cruz de Tenerife","Piso en rambla de Santa Cruz, 138",Top,TRUE,TRUE,NA
110620809,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/e4/bc/1410413763.webp,NA,34,4,1008000,flat,sale,141,TRUE,2,3,"Gral. Tf-655, 27",Santa Cruz de Tenerife,Arona,Los Cristianos,es,28.0576,-16.7039,TRUE,https://www.idealista.com/obra-nueva/110620809/,"Estrena exclusividad: 2 dormitorios en suite con gran terraza y piscina privada frente al Atlántico Te presentamos una espectacular vivienda de 2 dormitorios y 3 baños, con 86 m² construidos al interior y una gran terraza de 55 m² con piscina infinity privada, un auténtico oasis donde disfrutar del clima privilegiado de Tenerife con total privacidad. Un hogar moderno, elegante y lleno de luz, diseñado para ofrecer confort, amplitud y una conexión directa con el exterior. La vivienda se entrega completamente equipada, con domótica de última generación, altísima eficiencia energética y acabados premium con posibilidad de personalización. Además, incluye 2 plazas de garaje en box cerrado y un trastero de gran tamaño, aportando seguridad y comodidad a diario. A la venta ahora: sé de los primeros en elegir tu vivienda y asegura una inversión con excelente proyección de valor. ENA Luxury Homes es la promoción más exclusiva del Grupo Camper en Tenerife. Un proyecto singular compuesto por 63 viviendas de alto standing, donde la arquitectura contemporánea, las vistas espectaculares y el bienestar se unen para crear un estilo de vida inigualable. Cada detalle está pensado para sorprender: vistas panorámicas al océano y a La Gomera, terrazas amplias, estancias luminosas y un diseño concebido para disfrutar cada día de atardeceres inolvidables. Todas las viviendas cuentan con piscina privada o jacuzzi en la terraza, un privilegio que define el carácter distintivo del proyecto. Además, podrás disfrutar de amplias zonas ajardinadas con vegetación autóctona, un gimnasio moderno y espacios dedicados al bienestar. Todas las viviendas incluyen dos plazas de aparcamiento en box y trastero, garantizando funcionalidad y comodidad. Su ubicación en Los Cristianos es inmejorable: restaurantes frente al mar, playas, puerto deportivo, conexión en ferry con otras islas, supermercados, centros de salud y ocio. Un enclave perfecto tanto para vivir como para invertir con seguridad. El prestigioso estudio Leonardo Omar Arquitectos firma una arquitectura moderna, elegante y perfectamente integrada en el paisaje. El proyecto destaca por su apuesta por la sostenibilidad: aislamiento de alto rendimiento, doble acristalamiento, ventilación cruzada y sistemas de aerotermia. ENA Luxury Homes es mucho más que una vivienda: es modernidad, exclusividad y una inversión con un gran potencial de revalorización. Contáctanos hoy y déjate asesorar personalmente. Forma parte del nuevo icono del lujo en Tenerife y asegura tu lugar en esta oportunidad única.",TRUE,newdevelopment,TRUE,TRUE,7149,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,1008000,€,NA,NA,NA,flat,NA,"Los Cristianos, Arona","Piso en Gral. Tf-655, 27",Top,TRUE,TRUE,NA
106252372,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/35/c8/1405726322.webp,P00026,16,1,469000,flat,sale,74,TRUE,2,2,calle Murcia,Santa Cruz de Tenerife,Adeje,Costa Adeje,es,28.0901,-16.716,FALSE,https://www.idealista.com/inmueble/106252372/,"MV Immobilier se complace en presentar este magnifico apartamento con vistas panoramicas al mar.  Este espectacular apartamento de 74 m2, recientemente reformado con materiales y acabados de alta calidad, representa una oportunidad única vista su posición altamente demandada en uno de los mejores complejos de Roque del Conde. El piso, completamente reformado, cuenta con 2 dormitorios amplios y luminosos, uno de ellos con baño en suite, ofreciendo mayor privacidad y confort.  La cocina abierta se conecta con el amplio salón desde el cual se accede a una fantástica terraza de 73 m2 con inmejorables vistas panorámicas al mar y a la montaña. El apartamento se vende completamente amueblado, cuenta con una plaza de aparcamiento cubierta y trastero, lo que añade comodidad y almacenamiento adicional, además cuenta con piscina comunitaria y zonas verdes cuidadosamente mantenidas cada día. No pierdas la oportunidad de hacer de este lugar tu hogar! Contáctanos para obtener más información y programar una visita.",FALSE,good,FALSE,TRUE,6338,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,Torviscas Centro y Alto,NA,469000,€,NA,NA,NA,flat,NA,"Torviscas Centro y Alto, Adeje",Piso en calle Murcia,Top,TRUE,TRUE,NA
110456744,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f7/15/95/1411138811.webp,057941,74,NA,1795000,chalet,sale,550,NA,4,3,avenida Francia,Santa Cruz de Tenerife,Adeje,Costa Adeje,es,28.0737,-16.72,FALSE,https://www.idealista.com/inmueble/110456744/,"Villa de Lujo con Vistas Panorámicas al Océano – Apartamento Independiente – Piscina Climatizada – Garaje para 6 Coches Amplia villa de tres plantas con aproximadamente 550 m2 de espacio exterior y unos 350 m2 de superficie interior. Situada en una de las zonas más demandadas, ofrece vistas espectaculares a La Gomera, así como al amanecer y al atardecer. Características principales: - Tres plantas - Aproximadamente 350 m2 interiores / 550 m2 exteriores - Piscina climatizada con sistema de filtración y limpieza con sal (sin olor ni irritación) - Acceso directo desde la calle a un garaje privado para hasta 6 coches - Apartamento independiente con salón, dormitorio, baño, vestidor y cocina propia - Dos cocinas totalmente equipadas - Ascensor panorámico - Sistemas de aire acondicionado Daikin - Sistema de ventilación y recuperación de aire - Calentamiento de agua mediante energía solar - Amplias zonas ajardinadas con muchas plantas - Dos lavanderías - Trastero - Licencia de alquiler; excelente opción para alquiler vacacional de alto nivel - Comunidad: 60 €/mes Una propiedad única por su tamaño, calidad, privacidad y vistas incomparables.",FALSE,good,FALSE,NA,3264,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,La Caldera,NA,1795000,€,NA,NA,NA,chalet,independantHouse,"La Caldera, Adeje",Casa independiente en avenida Francia,Top,TRUE,TRUE,NA
101995374,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/af/be/38/1141092266.webp,7A,16,7,495000,flat,sale,88,TRUE,2,2,"rambla Pulido, 28",Santa Cruz de Tenerife,Santa Cruz de Tenerife,Centro-Ifara,es,28.4677,-16.2583,TRUE,https://www.idealista.com/obra-nueva/101995374/,"OBRA EN EJECUCIÓN. Rambla Living es una nueva construcción desde los cimientos, en la que se respeta y rehabilita la fachada original. Conservamos el diseño y personalidad de su arquitectura, a la vez que lo integramos con la modernidad, haciendo que ambos encajen a la perfección. Para las viviendas se ha ideado un ambiente armónico gracias a su distribución espacial, cuya función es darle el uso y confort idóneo a cada espacio. En la Memoria de calidades podrás descubrir los materiales e instalaciones preseleccionados para las zonas comunes, así como los exteriores e interiores de cada vivienda. Todas las viviendas crean espacios funcionales para favorecer la circulación fluida entre las estancias, cuyas perspectivas, luz y tonos generan espacios donde compartir la vida cotidiana. Podrás descubrir los materiales e instalaciones preseleccionados para las viviendas en las fichas técnicas.",FALSE,NA,TRUE,TRUE,5625,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,Los Hoteles-Rambla-Duggi,FALSE,495000,€,NA,NA,NA,flat,NA,"Los Hoteles-Rambla-Duggi, Santa Cruz de Tenerife","Piso en rambla Pulido, 28",Top,NA,NA,NA
107154167,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/eb/54/1141092353.webp,BAJO A,16,bj,465500,flat,sale,120,TRUE,1,1,"rambla Pulido, 28",Santa Cruz de Tenerife,Santa Cruz de Tenerife,Centro-Ifara,es,28.4677,-16.2583,TRUE,https://www.idealista.com/obra-nueva/107154167/,"OBRA EN EJECUCIÓN. Rambla Living es una nueva construcción desde los cimientos, en la que se respeta y rehabilita la fachada original. Conservamos el diseño y personalidad de su arquitectura, a la vez que lo integramos con la modernidad, haciendo que ambos encajen a la perfección. Para las viviendas se ha ideado un ambiente armónico gracias a su distribución espacial, cuya función es darle el uso y confort idóneo a cada espacio. En la Memoria de calidades podrás descubrir los materiales e instalaciones preseleccionados para las zonas comunes, así como los exteriores e interiores de cada vivienda. Todas las viviendas crean espacios funcionales para favorecer la circulación fluida entre las estancias, cuyas perspectivas, luz y tonos generan espacios donde compartir la vida cotidiana. Podrás descubrir los materiales e instalaciones preseleccionados para las viviendas en las fichas técnicas.",FALSE,newdevelopment,TRUE,TRUE,3879,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,Los Hoteles-Rambla-Duggi,FALSE,465500,€,NA,NA,NA,flat,NA,"Los Hoteles-Rambla-Duggi, Santa Cruz de Tenerife","Piso en rambla Pulido, 28",Top,NA,NA,NA
110016828,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/66/81/a2/1392769775.webp,NA,32,5,1768500,flat,sale,270,TRUE,4,5,"Gral. Tf-655, 27",Santa Cruz de Tenerife,Arona,Los Cristianos,es,28.0576,-16.7039,TRUE,https://www.idealista.com/obra-nueva/110016828/,"Estrena exclusividad: 4 dormitorios en suite con gran terraza y piscina privada frente al Atlántico Te presentamos una espectacular vivienda de 4 dormitorios y 5 baños, con 270 m² construidos que integran el interior y una gran terraza de 120 m² con piscina infinity privada, un auténtico oasis donde disfrutar del clima privilegiado de Tenerife con total privacidad. Un hogar moderno, elegante y lleno de luz, diseñado para ofrecer confort, amplitud y una conexión directa con el exterior. La vivienda se entrega completamente equipada, con domótica de última generación, altísima eficiencia energética y acabados premium con posibilidad de personalización. Además, incluye 2 plazas de garaje en box cerrado y un trastero de gran tamaño, aportando seguridad y comodidad a diario. A la venta ahora: sé de los primeros en elegir tu vivienda y asegura una inversión con excelente proyección de valor. ENA Luxury Homes es la promoción más exclusiva del Grupo Camper en Tenerife. Un proyecto singular compuesto por 63 viviendas de alto standing, donde la arquitectura contemporánea, las vistas espectaculares y el bienestar se unen para crear un estilo de vida inigualable. Cada detalle está pensado para sorprender: vistas panorámicas al océano y a La Gomera, terrazas amplias, estancias luminosas y un diseño concebido para disfrutar cada día de atardeceres inolvidables. Todas las viviendas cuentan con piscina privada o jacuzzi en la terraza, un privilegio que define el carácter distintivo del proyecto. Además, podrás disfrutar de amplias zonas ajardinadas con vegetación autóctona, un gimnasio moderno y espacios dedicados al bienestar. Todas las viviendas incluyen dos plazas de aparcamiento en box y trastero, garantizando funcionalidad y comodidad. Su ubicación en Los Cristianos es inmejorable: restaurantes frente al mar, playas, puerto deportivo, conexión en ferry con otras islas, supermercados, centros de salud y ocio. Un enclave perfecto tanto para vivir como para invertir con seguridad. El prestigioso estudio Leonardo Omar Arquitectos firma una arquitectura moderna, elegante y perfectamente integrada en el paisaje. El proyecto destaca por su apuesta por la sostenibilidad: aislamiento de alto rendimiento, doble acristalamiento, ventilación cruzada y sistemas de aerotermia. ENA Luxury Homes es mucho más que una vivienda: es modernidad, exclusividad y una inversión con un gran potencial de revalorización. Contáctanos hoy y déjate asesorar personalmente. Forma parte del nuevo icono del lujo en Tenerife y asegura tu lugar en esta oportunidad única.",FALSE,newdevelopment,TRUE,TRUE,6550,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,1768500,€,NA,NA,NA,flat,NA,"Los Cristianos, Arona","Piso en Gral. Tf-655, 27",Top,TRUE,TRUE,NA
