propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,newDevelopmentHighlight,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,newDevelopmentFinished
109790346,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/76/7b/f2/1390635438.webp,W-030F7C,67,2,615000,flat,sale,84,TRUE,2,1,calle de Cadis,València,València,L'Eixample,es,Russafa,39.4614,-0.3738,FALSE,https://www.idealista.com/inmueble/109790346/,"Piso de diseño reformado con balcón en Ruzafa Engel&Völkers presenta este lujoso y renovado apartamento de diseño en el corazón de Ruzafa para aquellos que buscan un binomio perfecto entre sofisticación y encanto. Sobre edificio clásico centenario con ascensor, la vivienda se reformó integralmente en 2025 reforzando estructura y autonivelando suelos para incorporar las mejores instalaciones de seguridad y confort y dotar al espacio de un diseño contemporáneo minimalista y funcional. Dispone de dos dormitorios, baño completo, zona de lavanderia oculta y balcón a fachada. Encontrarás una altura de techo única en toda la vivienda, de 3m de alto, con todas las instalaciones ocultas en el falso techo; separación entre viviendas y zonas comunes mediante hoja de ladrillo perforado trasdosado con placas de yeso laminado, con aislamiento térmico y acústico de lana mineral al interior de las viviendas; aislamiento acústico mediante panel semirrígido de lana mineral, espesor 45 mm, en el alma; 98 mm de espesor total; ventanas oscilobatientes de hoja oculta marca CORTIZO de aluminio lacado negro texturizado con rotura de puente térmico y protección térmica y acústica Guardian SUN; vidrio laminar control solar bajo emisivo 4/ cámara 16 90% ARGON /4; pavimento de microcemento continuo sin juntas sobre malla específica acabado mate color beige. Toda la vivienda esta pintada en esmalte al agua, ultra resistente a manchas y arañazos. No dude en contactarnos para ampliar información y cualificar para una visita privada. Esta propiedad no puede transferirse hasta 2027. La ubicación es inmejorable, en el corazón de Ruzafa, una localización estratégica que la coloca en proximidad directa con una amplia gama de comodidades, incluyendo supermercados, hospitales, colegios y transporte público eficiente. Disfruta de la comodidad de tener todo al alcance de la mano, combinando la vida urbana con el máximo confort.",TRUE,good,FALSE,TRUE,7321,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,615000,€,NA,NA,NA,flat,NA,"Russafa, València",Piso en calle de Cadis,Top+,NA,NA,NA,NA
109514837,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1a/2b/19/1377029777.webp,LCGV-1538,27,3,510000,flat,sale,143,TRUE,6,2,calle dels Centelles,València,València,L'Eixample,es,Russafa,39.458,-0.3708,FALSE,https://www.idealista.com/inmueble/109514837/,"En Lion Capital Group te ofrecemos esta vivienda en EXCLUSIVA en la mejor zona de Ruzafa, una de las áreas más deseadas y con más vida de Valencia.  Un hogar que combina amplitud, luminosidad y una construcción de excelente calidad, algo cada vez más difícil de encontrar en esta ubicación tan privilegiada. Con 143 m², esta propiedad destaca por su espacio y comodidad, ofreciendo seis habitaciones, dos baños, un salón amplio y muy luminoso, y una cocina independiente conectada con un encantador comedor, ideal para disfrutar de momentos en familia o con amigos. Además, dispone de un balcón con agradables vistas, perfecto para relajarse y disfrutar del ambiente único de Russafa. Su orientación garantiza una excelente luz natural durante todo el día, creando un ambiente cálido y confortable. La vivienda se encuentra en un estado de conservación impecable, dentro de un edificio de gran calidad constructiva, con los acabados y proporciones que solo las buenas viviendas ofrecen. Además, cuenta con la posibilidad de adquirir hasta dos plazas de garaje opcionales, un auténtico valor añadido en esta zona tan demandada. Situada en la mejor zona de Ruzafa, esta propiedad está rodeada de todos los servicios: supermercados, colegios, farmacias, transporte público, restaurantes, cafeterías y el emblemático Mercado de Russafa, todo a escasos metros. Una ubicación que combina la tranquilidad residencial con el dinamismo y la vida del barrio más vibrante de Valencia. No dejes pasar esta oportunidad. Viviendas así son cada vez más escasas en Russafa. Contacta con Lion Capital Group y ven a descubrir un hogar luminoso, amplio y con un encanto incomparable, donde cada rincón transmite confort, calidad y exclusividad.",TRUE,good,FALSE,TRUE,3566,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,510000,€,525000,15000,3,flat,NA,"Russafa, València",Piso en calle dels Centelles,Top+,TRUE,FALSE,35000,NA
109696602,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/70/c2/fe/1382750011.webp,LCGV-1589,37,1,490000,flat,sale,83,TRUE,2,1,calle de Puerto Rico,València,València,L'Eixample,es,Russafa,39.4594,-0.3772,FALSE,https://www.idealista.com/inmueble/109696602/,"Lion Capital Group te presenta este encantador piso situado en el corazón del barrio de Ruzafa. La vivienda cuenta con 83 m² construidos, cuidadosamente distribuidos para aprovechar al máximo cada espacio. Dispone de dos dormitorios, siendo el principal una amplia estancia con vestidor, y un baño completo. La cocina abierta al salón crea un ambiente diáfano y luminoso, ideal para disfrutar en el día a día. Desde esta zona se accede a una amplia terraza, perfecta para disfrutar del aire libre y del clima de Valencia. Reformado íntegramente en 2024, este piso combina el encanto de una finca clásica de 1928 con el confort de un hogar moderno. Cuenta con aire acondicionado por conductos y acabados de alta calidad que aportan calidez y estilo a cada rincón. Su ubicación es inmejorable: en Ruzafa, uno de los barrios más dinámicos y con más vida de Valencia, rodeado de restaurantes, cafeterías, tiendas y todos los servicios necesarios. A pocos minutos del centro, la Gran Vía, Marqués del Turia, el Cauce del Río y la Ciudad de las Artes y las Ciencias. No dejes pasar esta oportunidad y ven a descubrirlo con nosotros. Te encantará.",TRUE,good,FALSE,TRUE,5904,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,490000,€,500000,10000,2,flat,NA,"Russafa, València",Piso en calle de Puerto Rico,Top+,NA,NA,NA,NA
107054487,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d2/70/bd/1371143633.webp,W-02Y93Q,41,4,465000,penthouse,sale,85,TRUE,2,2,calle dels Aluders,València,València,Ciutat Vella,es,El Mercat,39.4709,-0.3784,FALSE,https://www.idealista.com/inmueble/107054487/,"Ático dúplex con dos terrazas Engel & Völkers presenta este espectacular ático dúplex con una superficie construida de 84m2. Ubicado en el corazón de la ciudad, junto al Mercado Central. La vivienda es muy luminosa gracias a que nos encontramos en la última planta del edificio. Cabe destacar su amplia y luminosa terraza de 25 metros que goza de unas vistas privilegiadas de la ciudad de Valencia. El edificio dispone de ascensor y cuenta con cuatro alturas y una viviendas por planta lo que lo hace más exclusivo y privado. La vivienda se actualizó en el año 2000 y dispone actualmente de dos plantas, una habitación y un baño en cada planta, en la planta principal nos encontramos un hall de acceso a la vivienda donde disponemos de una comedor salón con salida a la terraza privada de 25 metros con magníficas vistas a la ciudad de Valencia, la terraza dispone de un techo retráctil, con posibilidad de abrirlo del todo y dejarlo a cielo abierto. Junto a la terraza encontramos la cocina totalmente equipada con electrodomésticos de alta gama. Seguidamente junto al salón disponemos de un baño de cortesía completo y una habitación que se puede habilitar también como estudio de trabajo.  En la planta superior disponemos de una habitación con baño completo en suite además de una terraza privada donde poder contemplar las Mascletas de la Plaza del Ayuntamiento, ya que estamos en el mismo centro de la ciudad. La habitación dispone de grandes espacios de almacenaje. Todo un lujo a un solo paso del centro de la ciudad y por si echabas algo en falta, también dispone de plaza de parking para moto en la misma finca. Encontramos esta propiedad en una de las zonas más tranquilas del centro de Valencia, cerca de multitud de lugares clave de nuestra ciudad, como viene siendo el Mercado Central, la Lonja, la Plaza del Ayuntamiento o la Plaza de la Reina. Cabe destacar la proximidad del renovado parque del Hospital, donde se puede pasear y disfrutar de su tranquilidad. Contamos con multitud de transportes públicos en las proximidades que nos conectan con cualquier parte de la ciudad. No dude en ponerse en contacto con nosotros, estaremos encantados de atenderle.",TRUE,good,FALSE,TRUE,5471,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,465000,€,NA,NA,NA,flat,penthouse,"El Mercat, València",Ático en calle dels Aluders,Top+,TRUE,TRUE,NA,NA
90628380,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3f/ac/fa/1318099274.webp,W-02DX9J,44,1,1650000,flat,sale,308,TRUE,4,3,calle de la Pau,València,València,Ciutat Vella,es,La Xerea,39.4739,-0.373,FALSE,https://www.idealista.com/inmueble/90628380/,"Vivienda de lujo en la calle de la Paz con plaza de garaje Engel & Völkers Valencia presenta esta cuidada propiedad en exclusiva. Se trata de una lujosa vivienda donde todos los elementos originales han sido rehabilitados con esmero. Detalles singulares que reflejan un estilo de vida distintivo. Los suelos de la fábrica Nolla aportan brillo y calidez al hogar. Al ingresar, encontramos un amplio espacio de recepción que nos conduce a la zona social, compuesta por un amplio salón dividido en dos áreas diferenciadas. Hay un rincón perfecto para la lectura o para disfrutar de la privacidad del hermoso salón. La cocina es espaciosa y cuenta con acceso a una de las terrazas; además, dispone de una habitación destinada al almacenamiento y la lavandería. La vivienda cuenta con tres habitaciones y tres cuartos de baño, uno de ellos en suite en la habitación principal. La otra terraza está acondicionada como un pequeño gimnasio. Esta propiedad es una verdadera joya, destacando por sus techos conservados, suelos y puertas originales, todo ello en perfecta armonía con elementos contemporáneos que la convierten en una magnífica propiedad. El Barrio de La Xerea es uno de los más emblemáticos de la Ciudad de Valencia, zona noble de la ciudad en la que disfrutaremos de jardines, monumentos y Museos para los ratos de ocio. Grandes vías en las que nos encontramos los servicios necesarios para tener una alta calidad de vida. No dude en ponerse en contacto con nosotros, estaremos encantados de atenderle.",TRUE,good,FALSE,TRUE,5357,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,1650000,€,NA,NA,NA,flat,NA,"La Xerea, València",Piso en calle de la Pau,Top+,TRUE,TRUE,NA,NA
104743376,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/35/23/5e/1256581150.webp,W-02VB84,37,3,1300000,flat,sale,254,TRUE,3,2,avenida del Marqués de Sotelo,València,València,Ciutat Vella,es,Sant Francesc,39.4692,-0.3778,FALSE,https://www.idealista.com/inmueble/104743376/,"Luminosa vivienda exterior en Marques de Sotelo Engel&Voelkers les presenta esta vivienda en uno de los edificios señoriales más bonitos de la ciudad. Su decoración le brinda un carácter especial y su distribución exterior lo dota de mucha luz y lo convierte en una propiedad muy especial. Se accede por un amplio recibidor que continúa con un pasillo que da acceso a las diferentes estancias. Cuenta con 3 habitaciones, una de las cuales se ha reconvertido en vestidor pero conserva su acceso original, por lo que. fácilmente puede ser recuperada y 2 baños. Uno de los baños se encuentra en la habitación principal, con una gran ducha y una sauna que lo hace muy singular.   Al igual que en las habitaciones, la cocina cuenta con mucho espacio de almacenamiento, esta espaciosa cocina tiene un espacio con una mesa donde poder desayunar en familia. Por último se encuentra el gran salón-comedor con cuatro ventanales dan gran luminosidad a la estancia.  El piso cuenta con calefacción por radiadores de gas y aire acondicionado mediante splits. Esta vivienda se encuentra en Marques de Sotelo, una de las calles más exclusivas de la ciudad, en un edificio señorial de 1928, junto a la Plaza del Ayuntamiento, la parte más noble de la ciudad. Próximo a todos los servicios que ofrece la ciudad de Valencia. No dude en ponerse en contacto con nosotros, estaremos encantados de atenderle.",TRUE,good,FALSE,TRUE,5118,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,1300000,€,NA,NA,NA,flat,NA,"Sant Francesc, València",Piso en avenida del Marqués de Sotelo,Top+,NA,NA,NA,NA
107853321,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/0b/77/1326278179.webp,W-02Z8HR,40,2,1200000,flat,sale,187,TRUE,3,2,plaza de la Reina,València,València,Ciutat Vella,es,Sant Francesc,39.4747,-0.3743,FALSE,https://www.idealista.com/inmueble/107853321/,"Mirador a Plaza de la Reina con plaza de garaje Fabulosa propiedad en plena Plaza de la Reina con plaza de garaje en el mismo edificio incluida en el precio. Localizada frente a la catedral de Valencia, la propiedad de 187 m2 (incluyendo elementos comunes según catastro) se ubica en un moderno edificio el año 2002. Un amplio y luminoso recibidor nos conduce a un gran salón comedor con una gigantesca ventana de aprox. 8 m2 con vistas a la Plaza de la Reina. La vivienda cuenta con suelos de mármol, aire acondicionado frío calor por conductos en toda la vivienda y ascensor en el edificio. Una amplia cocina office con galería, además de un cuarto de baño completo se incluyen el el área social. La propiedad cuenta con tres dormitorios y dos cuartos de baño, uno de ellos en suite. El amplio dormitorio principal tiene vistas a la calle por medio de un amplio ventanal. La amplia plaza de garaje le da un valor añadido único a la propiedad. La Plaza de la Reina se conforma como uno de los símbolos de la ciudad de Valencia, con la imponente catedral como su eje central. Renovada completamente recientemente, la plaza cuenta con zonas ajardinadas y un parking municipal en la misma. A pocos pasos de muchos puntos de interés de la ciudad, como el emblemático barrio del Carmen, la Seu, la Xerea y el barrio de Sant Francesc, donde se ubica la Plaza del Ayuntamiento. La zona ofrece todos los servicios necesarios para la vida diaria, así como a los principales medios de transporte público de la ciudad, entre los que se encuentra la estación ferroviaria del Norte.",TRUE,good,FALSE,TRUE,6417,TRUE,TRUE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,1200000,€,NA,NA,NA,flat,NA,"Sant Francesc, València",Piso en plaza de la Reina,Top+,TRUE,TRUE,NA,NA
109062925,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/39/5a/1363284653.webp,LCGV-1442,32,2,665000,flat,sale,197,TRUE,3,2,calle dels Cavallers,València,València,Ciutat Vella,es,La Seu,39.4763,-0.377,FALSE,https://www.idealista.com/inmueble/109062925/,"Lion Capital Group le ofrece esta magnífica propiedad en la emblemática Calle Caballeros, ubicada en pleno centro histórico de Valencia. Una oportunidad única de adquirir un apartamento de lujo en una de las zonas más codiciadas de la ciudad. La vivienda cuenta con 181m² útiles distribuidos en un amplio salón-comedor, una cocina de diseño equipada con isla central y electrodomésticos de alta gama, dos dormitorios dobles uno de ellos con vestidor y baño en suite con acabados en mármol, un aseo, un espacio independiente de oficina/despacho y una amplia zona de entrada diáfana con múltiples posibilidades de distribución. Entre sus calidades destacan los suelos de microcemento, que aportan modernidad y elegancia, las ventanas de alta eficiencia energética con aislamiento térmico y acústico, las persianas automáticas, así como el sistema de climatización centralizado frío/calor. Además, la abundante luz natural en todas las estancias y la cuidada iluminación interior hacen de esta vivienda un espacio cálido, confortable y sofisticado. Su ubicación es inmejorable: en pleno centro histórico de Valencia, rodeada de palacetes y monumentos históricos que se remontan al siglo XVI. A escasos metros de restaurantes, cafeterías, galerías de arte, tiendas de diseño y monumentos emblemáticos. Además, cuenta con la comodidad de supermercados, farmacias, colegios y excelentes conexiones de transporte público en sus alrededores. No pierda esta gran oportunidad y venga a visitar la propiedad con nosotros. Estaremos encantados de atenderle y ayudarle a encontrar su nuevo hogar en el corazón de Valencia.",TRUE,good,FALSE,TRUE,3376,TRUE,TRUE,FALSE,TRUE,NA,FALSE,FALSE,TRUE,665000,€,NA,NA,NA,flat,NA,"La Seu, València",Piso en calle dels Cavallers,Top+,NA,NA,NA,NA
109640840,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/e9/1b/1380994210.webp,LCGV-1568,38,13,650000,flat,sale,158,TRUE,3,2,calle del Batxiller,València,València,El Pla del Real,es,Jaume Roig,39.4806,-0.3614,FALSE,https://www.idealista.com/inmueble/109640840/,"Lion Capital Group presenta esta maravillosa vivienda en el barrio de Jaume Roig. Se trata de una amplia vivienda de 158 metros cuadrados, distribuida en tres habitaciones, dos baños, dos balcones, armarios empotrados y con trastero incluido. Una propiedad que ofrece espacio, comodidad y todas las prestaciones necesarias para disfrutar de un hogar funcional y bien distribuido. Ubicada en una planta 13 con orientación sur, esta vivienda goza de una luminosidad excepcional durante todo el día. La propiedad se encuentra de origen, conservando suelos de terrazo y una distribución práctica que incluye dos accesos a la cocina. Dispone de un balcón mediano y otro más pequeño, perfectos para disfrutar del aire libre. El edificio cuenta con servicio de portería, lo que aporta seguridad y confort a sus vecinos. Situada en la calle Bachiller, en pleno barrio de Jaume Roig, esta vivienda se encuentra en una de las zonas más apreciadas y valoradas de la ciudad. Destaca por su entorno tranquilo, sus servicios de calidad y su excelente comunicación con el resto de la ciudad, convirtiéndolo en un enclave ideal para quienes buscan una ubicación privilegiada sin renunciar a la comodidad del día a día. ¡Contáctanos y no dejes pasar la oportunidad de venir a visitarla!",TRUE,good,FALSE,TRUE,4114,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,650000,€,NA,NA,NA,flat,NA,"Jaume Roig, València",Piso en calle del Batxiller,Top+,NA,NA,NA,NA
108333284,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/be/b9/e2/1342114351.webp,LCGV-1267,25,4,330000,flat,sale,87,TRUE,2,1,calle de Joan Llorenç,València,València,Extramurs,es,La Petxina,39.469,-0.3903,FALSE,https://www.idealista.com/inmueble/108333284/,"Lion Capital Group le ofrece esta magnífica oportunidad en la zona de Extramurs.    ASCENSOR EN PROCESO DE INSTALACIÓN. Al acceder a esta vivienda, nos encontramos con una distribución que aprovecha al máximo cada rincón. A la izquierda del recibidor, se abre un amplio salón-comedor con tres grandes ventanales y un coqueto balconcito que dan a la calle Juan Llorens, lo que lo convierte en un espacio completamente exterior y muy luminoso. A la derecha, se sitúa la primera habitación, sin ventanas pero con un tamaño generoso, ideal como dormitorio auxiliar o estudio. Siguiendo el pasillo, encontramos la habitación principal, equipada con armario empotrado y acceso directo al cuarto de baño, lo que aporta un extra de comodidad. Justo enfrente de esta habitación, una pequeña salita de paso da continuidad al recorrido hacia la cocina, que es independiente, de gran tamaño y con una orientación perfecta hacia un enorme patio de manzanas, lo que garantiza una excelente entrada de luz natural. A su lado, el baño completo con ducha se presenta funcional y bien ventilado.    La vivienda destaca por su increíble luminosidad y por el gran potencial que ofrece con una buena reforma. Conserva elementos originales con mucho encanto, como los techos altos que aportan sensación de amplitud y el suelo de terrazo escondido bajo las baldosas actuales, que podría recuperarse para devolverle todo su carácter. La luz natural baña la casa durante todo el día: por las mañanas en la cocina y por las tardes en el salón, gracias a su orientación hacia Juan Llorens. Además, cuenta con aire acondicionado frío-calor en el salón, lo que garantiza confort durante todo el año. La cocina, sorprendentemente espaciosa, invita a soñar con proyectos de renovación a medida, y el dormitorio principal con armario empotrado añade practicidad. Es una vivienda con alma, con rincones especiales que podrían convertirse en verdaderos puntos fuertes con un pequeño esfuerzo.    Ubicada en la vibrante zona de Juan Llorens, en el barrio de Extramurs y a un paso de Arrancapins, esta propiedad goza de una localización privilegiada. A escasos minutos de la Gran Vía Fernando el Católico y muy cerca del cauce del río Turia, permite disfrutar de zonas verdes y espacios culturales sin renunciar a la vida de barrio. Se trata de un entorno totalmente consolidado, con todos los servicios al alcance: supermercados, farmacias, colegios, centros de salud, y una excelente conexión con el resto de la ciudad mediante autobús y metro. Juan Llorens es una de las zonas más cotizadas de Valencia, perfecta para quienes buscan combinar comodidad, vida urbana y calidad de vida en un solo lugar.    ¡No pierda esta gran oportunidad y venga a visitarlo con nosotros!",TRUE,good,FALSE,TRUE,3793,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,330000,€,NA,NA,NA,flat,NA,"La Petxina, València",Piso en calle de Joan Llorenç,Top+,NA,NA,NA,NA
